FIELD	ps10_S1	ps11_S2	ps12_S3	ps37_S4	ps38_S5	ps40_S6	ps41_S7	ps44_S8	ps46_S9	ps48_S10	ps49_S11	ps50_S12
Stranded_Rule_Code	0	0	0	0	0	0	0	0	0	0	0	0
READ_PAIR_OK	16856205	12150313	2568462	14128383	13928240	12082916	16596021	16302227	17936670	17673783	12929829	11631173
TOTAL_READ_PAIRS	16924708	12196037	2581636	14172205	13978601	12121831	16664138	16366191	18005508	17734303	12987380	11674294
DROPPED_NOT_PROPER_PAIR	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_READ_FAILS_VENDOR_QC	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_MARKED_NOT_VALID	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_CHROMS_MISMATCH	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_PAIR_STRANDS_MISMATCH	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
DROPPED_IGNORED_CHROMOSOME	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_UNIQUE_ALIGNMENT	68503	45724	13174	43822	50361	38915	68117	63964	68838	60520	57551	43121
DROPPED_NO_ALN_BLOCKS	0	0	0	0	0	0	0	0	0	0	0	0
DROPPED_NOT_MARKED_RG	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
KEPT_NOT_UNIQUE_ALIGNMENT	0	0	0	0	0	0	0	0	0	0	0	0
minObservedReadLength	30	30	30	30	30	30	30	31	30	30	30	30
maxObservedReadLength	301	301	301	301	301	301	301	301	301	301	301	301
maxLegalPhredScore	64	64	64	64	64	64	64	64	64	64	64	64
IS_SINGLE_END	1	1	1	1	1	1	1	1	1	1	1	1
PREALIGNMENT_READ_CT	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
BENCHMARK_MinutesOnSamIteration	32.17	22.22	4.58	26.42	26.5	25.87	31.97	31.35	35.28	37.8	25.23	22.42
BENCHMARK_MinutesPerMillionReads	1.9	1.82	1.78	1.86	1.9	2.13	1.92	1.92	1.96	2.13	1.94	1.92
BENCHMARK_MinutesPerMillionGoodReads	1.91	1.83	1.78	1.87	1.9	2.14	1.93	1.92	1.97	2.14	1.95	1.93
ReadPairs_AmbigGene	1252478	856057	190361	1026740	1072080	929858	1323483	1315284	1455922	1376189	1112733	925170
ReadPairs_UniqueGene	15198498	11024318	2300105	12760408	12508262	10879442	14891825	14587294	15996442	15824338	11497202	10460460
ReadPairs_UniqueGene_CDS	0	0	0	0	0	0	0	0	0	0	0	0
ReadPairs_UniqueGene_UTR	15198498	11024318	2300105	12760408	12508262	10879442	14891825	14587294	15996442	15824338	11497202	10460460
ReadPairs_NoGene	405229	269938	77996	341235	347898	273616	380713	399649	484306	473256	319894	245543
ReadPairs_NoGene_Intron	152807	96096	27001	130467	140465	87069	125877	158167	164910	156202	102923	80561
ReadPairs_NoGene_OneKbFromGene	188169	132486	35784	174601	163094	145541	193317	177557	244662	248544	165683	128666
ReadPairs_NoGene_TenKbFromGene	61120	39255	14180	34022	42067	39500	58399	61105	70349	65390	48262	34657
ReadPairs_NoGene_MiddleOfNowhere	3133	2101	1031	2145	2272	1506	3120	2820	4385	3120	3026	1659
Genes_Total	28726	28726	28726	28726	28726	28726	28726	28726	28726	28726	28726	28726
Genes_WithZeroCounts	7655	8139	9824	7547	7957	7421	7355	7337	7229	7477	7610	7691
Genes_WithNonzeroCounts	21071	20587	18902	21179	20769	21305	21371	21389	21497	21249	21116	21035
AVG_GC	0.47	0.47	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46
AggregateGenes	27129	27129	27129	27129	27129	27129	27129	27129	27129	27129	27129	27129
AggregateGenes_NoReads	6858	7309	8861	6761	7155	6638	6588	6558	6481	6697	6827	6884
AggregateGenes_WithReads	20271	19820	18268	20368	19974	20491	20541	20571	20648	20432	20302	20245
SpliceLoci	160287	152175	132859	164946	159733	161885	168841	169661	170728	170819	161678	156899
SpliceLoci_Known	121455	121455	121455	121455	121455	121455	121455	121455	121455	121455	121455	121455
SpliceLoci_Known_NoReads	29741	32276	45481	29498	31160	30150	28487	28351	29447	30790	30523	30454
SpliceLoci_Known_FewReads	8483	9656	25898	9562	8760	11664	9598	9618	9250	9767	11837	11310
SpliceLoci_Known_ManyReads	83231	79523	50076	82395	81535	79641	83370	83486	82758	80898	79095	79691
SpliceLoci_Novel	38832	30720	11404	43491	38278	40430	47386	48206	49273	49364	40223	35444
SpliceLoci_Novel_FewReads	29182	22766	9500	34503	29429	33305	38501	39226	39138	39021	32665	28349
SpliceLoci_Novel_ManyReads	9650	7954	1904	8988	8849	7125	8885	8980	10135	10343	7558	7095
SpliceEvents	9508896	6879446	1344456	8174090	8161099	6638071	9352648	9607308	9828573	9568850	7002369	6454601
SpliceEvents_KnownLoci	9049387	6549066	1280913	7753052	7753547	6337498	8929960	9123589	9351496	9071713	6683607	6161892
